codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00016,00024,00028,00029,00036,00037,00041,00050,00058,00061,00077,00108
01,001,Comuna 01,00006,000169,0,0,8,0,10,0,0,6,42,0,172,0,0,0,8
01,001,Comuna 01,00007,000170,0,0,7,0,7,0,0,4,68,0,150,0,0,0,5
01,001,Comuna 01,00007,000171,0,0,16,0,12,0,0,9,58,0,140,0,0,0,6
01,001,Comuna 01,00007,000172,0,0,5,0,15,0,0,6,47,0,155,0,0,0,5
01,001,Comuna 01,00007,000173,0,0,6,0,8,0,0,5,60,0,165,0,0,0,4
01,001,Comuna 01,00007,000174,0,0,9,0,7,0,0,8,61,0,137,0,0,0,9
01,001,Comuna 01,00007,000175,0,0,7,0,7,0,0,9,60,0,161,0,0,0,4
01,001,Comuna 01,00007,000176,0,0,5,0,5,0,0,9,48,0,162,0,0,0,8
01,001,Comuna 01,00007,000177,0,0,8,0,14,0,0,5,41,0,163,0,0,0,3
01,001,Comuna 01,00007,000178,0,0,8,0,12,0,0,9,45,0,148,0,0,0,5
01,001,Comuna 01,00007,000179,0,0,10,0,5,0,0,6,48,0,161,0,0,0,6
01,001,Comuna 01,00007,000180,0,0,7,0,4,0,0,8,45,0,158,0,0,0,7
01,001,Comuna 01,00007,000181,0,0,7,0,13,0,0,7,50,0,158,0,0,0,8
01,001,Comuna 01,00007,000182,0,0,219,0,0,0,0,2,6,0,9,0,0,0,4
01,001,Comuna 01,00007,000183,0,0,13,0,11,0,0,9,47,0,162,0,0,0,10
01,001,Comuna 01,00007,000184,0,0,7,0,6,0,0,9,74,0,155,0,0,0,4
01,001,Comuna 01,00007,000185,0,0,11,0,7,0,0,6,45,0,160,0,0,0,11
01,001,Comuna 01,00007,000186,0,0,6,0,6,0,0,6,54,0,164,0,0,0,6
01,001,Comuna 01,00007,000187,0,0,5,0,7,0,0,9,45,0,167,0,0,0,7
01,001,Comuna 01,00007,000188,0,0,10,0,12,0,0,2,50,0,161,0,0,0,7
01,001,Comuna 01,00007,000189,0,0,6,0,7,0,0,10,48,0,167,0,0,0,5
01,001,Comuna 01,00007,000190,0,0,14,0,9,0,0,9,63,0,132,0,0,0,9
01,001,Comuna 01,00007,000191,0,0,6,0,5,0,0,7,50,0,154,0,0,0,7
01,001,Comuna 01,00007,000192,0,0,2,0,12,0,0,5,70,0,160,0,0,0,5
01,001,Comuna 01,00007,000193,0,0,7,0,8,0,0,8,63,0,140,0,0,0,8
01,001,Comuna 01,00007,000194,0,0,6,0,13,0,0,8,61,0,148,0,0,0,4
01,001,Comuna 01,00008,000195,0,0,6,0,14,0,0,7,69,0,137,0,0,0,6
01,001,Comuna 01,00008,000196,0,0,7,0,11,0,0,10,74,0,140,0,0,0,5
01,001,Comuna 01,00008,000197,0,0,9,0,13,0,0,11,63,0,136,0,0,0,3
01,001,Comuna 01,00008,000198,0,0,12,0,7,0,0,5,68,0,147,0,0,0,6
01,001,Comuna 01,00008,000199,0,0,8,0,9,0,0,2,48,0,144,0,0,0,5
01,001,Comuna 01,00008,000200,0,0,6,0,12,0,0,6,76,0,143,0,0,0,7
01,001,Comuna 01,00008,000201,0,0,4,0,10,0,0,4,63,0,153,0,0,0,4
01,001,Comuna 01,00008,000202,0,0,6,0,8,0,0,8,65,0,141,0,0,0,4
01,001,Comuna 01,00008,000203,0,0,13,0,6,0,0,4,58,0,146,0,0,0,6
01,001,Comuna 01,00008,000204,0,0,7,0,7,0,0,10,70,0,136,0,0,0,3
01,001,Comuna 01,00008,000205,0,0,4,0,14,0,0,5,64,0,126,0,0,0,9
01,001,Comuna 01,00008,000206,0,0,6,0,13,0,0,9,70,0,146,0,0,0,5
01,001,Comuna 01,00008,000207,0,0,8,0,7,0,0,2,58,0,138,0,0,0,8
01,001,Comuna 01,00008,000208,0,0,12,0,12,0,0,4,71,0,126,0,0,0,5
01,001,Comuna 01,00008,000209,0,0,8,0,10,0,0,7,60,0,136,0,0,0,4
01,001,Comuna 01,00008,000210,0,0,6,0,16,0,0,9,56,0,140,0,0,0,5
01,001,Comuna 01,00008,000211,0,0,3,0,7,0,0,1,61,0,162,0,0,0,2
01,001,Comuna 01,00008,000212,0,0,4,0,3,0,0,4,57,0,148,0,0,0,5
01,001,Comuna 01,00008,000213,0,0,7,0,11,0,0,10,70,0,131,0,0,0,5
01,001,Comuna 01,00008,000214,0,0,6,0,9,0,0,12,66,0,136,0,0,0,7
01,001,Comuna 01,00008,000215,0,0,9,0,10,0,0,4,62,0,132,0,0,0,6
01,001,Comuna 01,00008,000216,0,0,10,0,16,0,0,6,63,0,149,0,0,0,5
01,001,Comuna 01,00008,000217,0,0,12,0,10,0,0,6,54,0,144,0,0,0,3
01,001,Comuna 01,00008,000218,0,0,6,0,16,0,0,9,74,0,141,0,0,0,3
01,001,Comuna 01,00008,000219,0,0,3,0,12,0,0,6,53,0,146,0,0,0,3
01,001,Comuna 01,00008,000220,0,0,3,0,15,0,0,5,59,0,164,0,0,0,5
01,001,Comuna 01,00008,000221,0,0,7,0,9,0,0,7,64,0,129,0,0,0,5
01,001,Comuna 01,00008,000222,0,0,14,0,7,0,0,2,76,0,126,0,0,0,9
01,001,Comuna 01,00008,000223,0,0,1,0,10,0,0,9,50,0,142,0,0,0,7
01,001,Comuna 01,00008,000224,0,0,7,0,13,0,0,9,68,0,132,0,0,0,7
01,001,Comuna 01,00008,000225,0,0,10,0,13,0,0,6,62,0,138,0,0,0,8
01,001,Comuna 01,00008,000226,0,0,8,0,11,0,0,6,69,0,134,0,0,0,8
01,001,Comuna 01,00008,000227,0,0,6,0,11,0,0,7,53,0,151,0,0,0,3
01,001,Comuna 01,00009,000228,0,0,7,0,13,0,0,9,85,0,142,0,0,0,1
01,001,Comuna 01,00009,000229,0,0,7,0,11,0,0,7,70,0,157,0,0,0,7
01,001,Comuna 01,00009,000230,0,0,10,0,6,0,0,4,64,0,197,0,0,0,6
01,001,Comuna 01,00009,000231,0,0,7,0,11,0,0,10,64,0,139,0,0,0,5
01,001,Comuna 01,00009,000232,0,0,10,0,15,0,0,7,65,0,146,0,0,0,4
01,001,Comuna 01,00009,000233,0,0,12,0,13,0,0,11,72,0,148,0,0,0,6
01,001,Comuna 01,00009,000234,0,0,14,0,6,0,0,10,67,0,144,0,0,0,4
01,001,Comuna 01,00009,000235,0,0,10,0,12,0,0,7,79,0,149,0,0,0,4
01,001,Comuna 01,00009,000236,0,0,13,0,6,0,0,7,68,0,144,0,0,0,6
01,001,Comuna 01,00009,000237,0,0,10,0,14,0,0,11,76,0,142,0,0,0,4
01,001,Comuna 01,00009,000238,0,0,4,0,12,0,0,8,69,0,158,0,0,0,9
01,001,Comuna 01,00009,000239,0,0,7,0,14,0,0,11,50,0,174,0,0,0,6
01,001,Comuna 01,00009,000240,0,0,7,0,21,0,0,6,72,0,138,0,0,0,10
01,001,Comuna 01,00009,000241,0,0,10,0,13,0,0,12,71,0,144,0,0,0,4
