codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,01296,01297,01292,01301,01302,01295,01298,01304,01299,01293,01294,01300,01303
06,010,SAN LORENZO ,02274,058171,0,0,12,56,167,13,1,0,0,0,1,0,8,2,2,0
06,012,O'HIGGINS,02284,058310,0,0,5,167,53,18,0,0,0,0,0,0,2,1,0,0
06,007,BERMEJO,02253,057963,0,0,10,166,36,43,1,0,0,0,5,1,0,3,2,0
06,007,BERMEJO,02254,057996,0,0,10,166,22,42,4,0,0,0,3,0,0,3,8,1
06,021,12 DE OCTUBRE,02316,058891,0,0,3,166,17,45,1,0,0,1,2,0,1,1,4,1
06,003,LIBERTAD,02240,057903,0,0,0,165,40,43,0,1,0,2,3,0,7,2,5,1
06,005,SARGENTO CABRAL ,02247,057940,0,0,6,165,49,43,0,0,0,0,2,0,2,3,2,2
06,007,BERMEJO,02254,058000,0,0,0,165,19,54,7,0,0,0,3,3,3,2,1,1
06,008,LIBERTADOR GRAL. SAN MARTÍN,02263,058099,0,0,0,165,47,6,0,0,0,0,2,0,54,1,6,1
06,010,SAN LORENZO ,02273,058157,0,0,0,165,6,55,0,0,0,0,0,0,17,0,0,4
06,010,SAN LORENZO ,02273,058159,0,0,11,165,13,37,0,1,0,0,0,0,4,16,1,2
06,003,LIBERTAD,02240,057885,0,0,17,164,40,30,2,0,1,4,3,0,11,2,5,2
06,007,BERMEJO,02251,057957,0,0,1,164,18,15,0,3,0,1,0,0,0,0,0,0
06,007,BERMEJO,02254,057988,0,0,9,164,51,49,2,0,0,0,0,0,2,0,2,2
06,008,LIBERTADOR GRAL. SAN MARTÍN,02263,058026,0,0,13,164,44,34,1,0,0,1,5,2,4,6,5,2
06,010,SAN LORENZO ,02274,058170,0,0,9,51,164,20,0,0,0,0,0,0,2,4,3,0
06,012,O'HIGGINS,02284,058312,0,0,3,164,44,17,0,0,0,0,2,0,0,3,0,0
06,015,25 DE MAYO,02300,058649,0,0,0,164,70,6,0,0,0,0,0,0,2,0,0,0
06,024,ALMIRANTE BROWN,02326,058991,0,0,8,164,7,43,0,0,0,0,3,1,4,8,1,0
