codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00139,00146,00148,00136,00137,00138,00142,00143,00140,00144,00141,00145,00147,00149,00150
06,005,Sargento Cabral ,2289,56442,0,0,0,190,71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,006,Presidencia de la  Plaza,2292,56471,0,0,6,190,77,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2311,56672,0,0,8,190,49,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,2330,56924,0,0,9,190,49,6,4,0,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,2331,56938,0,0,6,190,57,0,4,0,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,2358,57445,0,0,2,190,41,7,7,0,0,0,0,0,0,0,0,0,0,0
06,024,Almirante Brown,2381,57844,0,0,4,190,43,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,024,Almirante Brown,2381,57845,0,0,3,190,52,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,003,Libertad,2279,56368,0,0,0,189,37,3,12,0,0,0,0,0,0,0,0,0,0,0
06,006,Presidencia de la  Plaza,2292,56466,0,0,3,189,60,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,2298,56530,0,0,0,189,64,11,2,0,0,0,0,0,0,0,0,0,0,0
06,024,Almirante Brown,2381,57826,0,0,7,189,58,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,2383,57920,0,0,14,189,46,7,8,0,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,2284,56390,0,0,9,188,75,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,2286,56416,0,0,10,188,70,4,0,0,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,2289,56438,0,0,4,188,61,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,2297,56502,0,0,13,188,68,6,3,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,2299,56538,0,0,12,188,40,3,7,0,0,0,0,0,0,0,0,0,0,0
06,010,San Lorenzo ,2320,56726,0,0,1,188,44,8,13,0,0,0,0,0,0,0,0,0,0,0
06,010,San Lorenzo ,2321,56757,0,0,1,188,48,3,5,0,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,2330,56912,0,0,10,188,57,5,7,0,0,0,0,0,0,0,0,0,0,0
