codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00026,00032,00034,00023,00024,00025,00030,00027,00029,00028,00031,00033,00035,00036
06,008,Libertador Gral. San Martín,02311,056666,0,0,11,195,48,4,3,0,0,0,0,0,0,0,0,0,0
06,011,Mayor L. J. Fontana,02325,056856,0,0,5,195,46,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,02330,056915,0,0,14,195,57,5,2,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,02332,056956,0,0,5,195,36,10,3,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,02358,057431,0,0,2,195,52,2,7,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,02361,057476,0,0,9,195,41,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,02383,057865,0,0,3,195,61,7,9,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,02286,056415,0,0,19,194,57,5,2,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,02298,056523,0,0,15,194,69,5,3,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,02298,056527,0,0,9,194,67,6,4,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02308,056637,0,0,1,194,75,9,2,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02311,056691,0,0,1,194,37,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,010,San Lorenzo ,02320,056751,0,0,6,194,46,9,6,0,0,0,0,0,0,0,0,0,0
06,011,Mayor L. J. Fontana,02325,056840,0,0,17,194,59,11,5,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,02330,056917,0,0,0,194,62,1,2,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02236,055302,0,0,9,61,193,0,1,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02237,055315,0,0,6,66,193,11,3,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02237,055327,0,0,7,50,193,7,6,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02239,055348,0,0,13,51,193,6,7,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02308,056584,0,0,2,193,71,9,2,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,02330,056934,0,0,12,193,57,3,3,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,02350,057294,0,0,5,193,51,8,3,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,02350,057324,0,0,6,193,69,6,3,0,0,0,0,0,0,0,0,0,0
