codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0038,0047,0050,0061,0064,0160,0515,0523
13,Capital,001,0020 ,0233,334,16,0,NA,NA,21,33,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0234,334,4,2,NA,NA,20,14,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0235,334,14,6,NA,NA,17,22,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0236,333,3,7,NA,NA,10,30,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0237,333,0,0,NA,NA,21,22,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0238,333,15,5,NA,NA,18,13,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0239,333,4,8,NA,NA,15,17,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0240,333,10,0,NA,NA,16,26,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0241,333,2,5,NA,NA,10,15,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0242,333,11,5,NA,NA,21,18,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0243,333,8,2,NA,NA,10,26,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0244,333,5,6,NA,NA,14,16,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0245,333,0,7,NA,NA,11,17,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0246,333,11,9,NA,NA,13,22,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0247,333,11,4,NA,NA,7,16,NA,NA,NA,NA,NA
13,Capital,001,0020 ,0248,333,0,2,NA,NA,16,16,NA,NA,NA,NA,NA
13,Capital,001,0021 ,0249,324,4,5,NA,NA,25,30,NA,NA,NA,NA,NA
13,Capital,001,0021 ,0250,324,1,2,NA,NA,33,33,NA,NA,NA,NA,NA
13,Capital,001,0021 ,0251,324,9,1,NA,NA,28,28,NA,NA,NA,NA,NA
13,Capital,001,0021 ,0252,324,9,2,NA,NA,32,32,NA,NA,NA,NA,NA
13,Capital,001,0021 ,0253,323,1,13,NA,NA,29,16,NA,NA,NA,NA,NA
13,Capital,001,0021 ,0254,323,9,7,NA,NA,39,16,NA,NA,NA,NA,NA
13,Capital,001,0021 ,0255,323,2,2,NA,NA,27,28,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0256,339,4,5,NA,NA,5,0,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0257,339,0,0,NA,NA,11,20,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0258,339,0,0,NA,NA,18,10,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0259,339,1,11,NA,NA,6,10,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0260,339,0,0,NA,NA,9,6,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0261,339,14,8,NA,NA,6,8,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0262,339,0,0,NA,NA,14,15,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0263,339,23,6,NA,NA,14,16,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0264,339,4,22,NA,NA,11,17,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0265,339,0,17,NA,NA,22,18,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0266,339,0,0,NA,NA,12,13,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0267,339,23,10,NA,NA,11,14,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0268,339,10,6,NA,NA,12,18,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0269,339,11,14,NA,NA,11,11,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0270,339,3,9,NA,NA,13,16,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0271,339,6,20,NA,NA,6,18,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0272,339,0,0,NA,NA,12,13,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0273,338,9,4,NA,NA,9,12,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0274,338,9,9,NA,NA,10,10,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0275,338,8,9,NA,NA,5,7,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0276,338,5,9,NA,NA,9,12,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0277,338,7,15,NA,NA,11,16,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0278,338,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0279,338,27,10,NA,NA,9,12,NA,NA,NA,NA,NA
13,Capital,001,0022 ,0280,338,5,13,NA,NA,9,12,NA,NA,NA,NA,NA
13,Capital,001,0023 ,0281,318,9,1,NA,NA,20,22,NA,NA,NA,NA,NA
13,Capital,001,0023 ,0282,318,11,10,NA,NA,25,19,NA,NA,NA,NA,NA
13,Capital,001,0023 ,0283,318,14,1,NA,NA,27,28,NA,NA,NA,NA,NA
13,Capital,001,0023 ,0284,318,14,6,NA,NA,33,29,NA,NA,NA,NA,NA
13,Capital,001,0023 ,0285,318,6,4,NA,NA,24,30,NA,NA,NA,NA,NA
13,Capital,001,0023 ,0286,317,4,0,NA,NA,29,31,NA,NA,NA,NA,NA
13,Capital,001,0023 ,0287,317,0,0,NA,NA,21,30,NA,NA,NA,NA,NA
13,Capital,001,0024 ,0288,328,0,8,NA,NA,23,34,NA,NA,NA,NA,NA
13,Capital,001,0024 ,0289,328,10,3,NA,NA,25,19,NA,NA,NA,NA,NA
13,Capital,001,0024 ,0290,328,10,3,NA,NA,29,32,NA,NA,NA,NA,NA
13,Capital,001,0024 ,0291,328,8,4,NA,NA,21,28,NA,NA,NA,NA,NA
