codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00115,00118,00120,00119,00112,00121,00125,00114,00113,00117,00116,00122,00123,00124
04,001,Capital,1457,44801,0,0,0,190,31,26,7,13,3,4,0,0,0,0,0,0,0
04,001,Capital,1457,44811,0,0,2,190,34,33,5,13,5,1,0,0,0,0,0,0,0
04,001,Capital,1457,44812,0,0,0,190,28,34,12,6,8,1,0,0,0,0,0,0,0
04,001,Capital,1492,45638,0,0,4,190,33,45,4,8,7,5,0,0,0,0,0,0,0
04,001,Capital,1492,45654,0,0,2,190,36,42,6,1,10,2,0,0,0,0,0,0,0
04,001,Capital,1549,47417,0,0,4,190,29,22,8,7,5,3,0,0,0,0,0,0,0
04,001,Capital,1555,47534,0,0,3,190,44,29,9,8,8,2,0,0,0,0,0,0,0
04,008,Juárez Celman,1691,49227,0,0,8,190,25,47,4,3,10,4,0,0,0,0,0,0,0
04,012,Punilla,1755,49946,0,0,7,190,22,27,4,1,5,5,0,0,0,0,0,0,0
04,013,Río Cuarto,1798,50524,0,0,4,190,39,39,3,5,10,4,0,0,0,0,0,0,0
04,001,Capital,1548,47387,0,0,3,189,33,45,15,11,11,1,0,0,0,0,0,0,0
04,001,Capital,1554,47505,0,0,12,189,30,49,14,6,5,3,0,0,0,0,0,0,0
04,003,Colón,1593,47913,0,0,5,189,39,35,3,4,5,4,0,0,0,0,0,0,0
04,003,Colón,1593,47928,0,0,6,189,30,43,7,1,6,0,0,0,0,0,0,0,0
04,003,Colón,1597,47984,0,0,13,189,19,47,3,3,9,4,0,0,0,0,0,0,0
04,003,Colón,1597,48010,0,0,1,189,27,43,4,3,6,5,0,0,0,0,0,0,0
04,009,Marcos Juárez,1716,49503,0,0,3,189,31,49,7,8,13,4,0,0,0,0,0,0,0
04,012,Punilla,1755,49917,0,0,1,189,39,38,8,3,8,6,0,0,0,0,0,0,0
04,014,Río Primero,1835,50886,0,0,2,189,33,26,3,1,8,2,0,0,0,0,0,0,0
04,017,Roque Sáenz Peña,1880,51284,0,0,4,189,25,48,0,0,6,2,0,0,0,0,0,0,0
04,001,Capital,1459,44906,0,0,5,188,38,31,10,13,8,4,0,0,0,0,0,0,0
04,001,Capital,1558,47570,0,0,2,188,29,33,13,10,3,2,0,0,0,0,0,0,0
04,001,Capital,1558,47589,0,0,2,188,28,42,5,14,5,4,0,0,0,0,0,0,0
04,003,Colón,1593,47881,0,0,6,188,42,26,8,5,9,2,0,0,0,0,0,0,0
04,003,Colón,1597,47972,0,0,10,188,16,53,2,2,7,4,0,0,0,0,0,0,0
04,003,Colón,1605,48276,0,0,2,188,38,38,11,6,7,2,0,0,0,0,0,0,0
04,009,Marcos Juárez,1703,49339,0,0,4,188,13,41,3,0,8,2,0,0,0,0,0,0,0
04,009,Marcos Juárez,1716,49530,0,0,2,188,30,53,3,1,7,2,0,0,0,0,0,0,0
04,016,Río Segundo,1866,51089,0,0,12,188,31,34,1,1,4,3,0,0,0,0,0,0,0
04,001,Capital,1452,44669,0,0,1,187,22,42,3,11,5,3,0,0,0,0,0,0,0
